YEAR,MONTH,DATE,POS NO.,ITEM NO.,PRODUCT DESCRIPTION,SRP,UOM,CONVERTER,DISC,ORIG QTY,QTY UOM,PACK,KG,PCS,CURRENCY,AMOUNT,COMM RATE,NET SALES,SKU CATEGORY,AREA,KAM,CHAIN,BANNER,SKU number,SKU PER BRAND,GENERALIZED SKU,MOTHER SKU,Sales Category,SKU Department,PLACEMENT,PLACEMENT REMARKS,,,,,
2024,APRIL,04/01/2024,POS24040100885,4,THE GOOD MEAT WHITE EGG BRANDED BY 12'S (MED),120.00,DZN,x 1, ,1.00000,DZN,0.00000,0.00000,12.00000,PHP,120.00000,15%,102.00000,EGG,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM WHITE EGG BRANDED by 12'S (MEDIUM),WHITE EGG BRANDED by 12'S (MEDIUM),P3,RETAIL,POULTRY - EGG,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,EGG,EGG,TGM
2024,APRIL,04/01/2024,POS24040100008,4,THE GOOD MEAT WHITE EGG BRANDED BY 12'S (LARGE),123.00,DZN,x 1, ,1.00000,DZN,0.00000,0.00000,12.00000,PHP,123.00000,15%,104.55000,EGG,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM WHITE EGG BRANDED by 12'S (LARGE),WHITE EGG BRANDED by 12'S (LARGE),P4,RETAIL,POULTRY - EGG,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,EGG,EGG,TGM
2024,APRIL,04/01/2024,POS24040100010,1,THE GOOD MEAT BELLY SOBI/BELLY SLICED,439.00,KGs,"x 1,000", ,770.00000,Gs,0.00000,0.77000,0.00000,PHP,338.03000,15%,287.33000,PORK,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM BELLY SOBI/BELLY SLICED,BELLY SOBI/BELLY SLICED,BELLY,RETAIL,MEAT,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,PORK,SHOWCASE,TGM
2024,APRIL,04/01/2024,POS24040100014,4,THE GOOD MEAT REGULAR GROUND PORK,279.00,KGs,"x 1,000", ,545.00000,Gs,0.00000,0.54500,0.00000,PHP,152.06000,15%,129.25000,PORK,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM REGULAR GROUND PORK,REGULAR GROUND PORK,REGULAR GROUND PORK,RETAIL,MEAT,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,PORK,SHOWCASE,TGM
2024,APRIL,04/01/2024,POS24040100019,2,THE GOOD MEAT BEEF KALDERETA CUT,539.00,KGs,"x 1,000", ,150.00000,Gs,0.00000,0.15000,0.00000,PHP,80.85000,15%,68.72000,BEEF,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM BEEF KALDERETA CUT,BEEF KALDERETA CUT,BEEF KALDERETA CUT,RETAIL,MEAT,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,BEEF,SHOWCASE,TGM
2024,APRIL,04/01/2024,POS24040100024,3,THE GOOD MEAT BEEF STROGANOFF,649.00,KGs,"x 1,000", ,150.00000,Gs,0.00000,0.15000,0.00000,PHP,97.35000,15%,82.75000,BEEF,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM BEEF STROGANOFF,BEEF STROGANOFF,BEEF STROGANOFF,RETAIL,MEAT,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,BEEF,SHOWCASE,TGM
2024,APRIL,04/01/2024,POS24040100026,13,THE GOOD MEAT ADOBO CUT,379.00,KGs,"x 1,000", ,1.00000,Gs,0.00000,0.00100,0.00000,PHP,401.74000,15%,341.48000,PORK,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM ADOBO CUT,ADOBO CUT,ADOBO CUT,RETAIL,MEAT,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,PORK,SHOWCASE,TGM
2024,APRIL,04/01/2024,POS24040100026,15,THE GOOD MEAT PORKCHOP SOBI,379.00,KGs,"x 1,000", ,660.00000,Gs,0.00000,0.66000,0.00000,PHP,250.14000,15%,212.62000,PORK,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM PORKCHOP SOBI,PORKCHOP SOBI,PORKCHOP,RETAIL,MEAT,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,PORK,SHOWCASE,TGM
2024,APRIL,04/01/2024,POS24040100027,2,THE GOOD MEAT WHITE EGG BRANDED BY 12'S (LARGE),123.00,DZN,x 1, ,1.00000,DZN,0.00000,0.00000,12.00000,PHP,123.00000,15%,104.55000,EGG,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM WHITE EGG BRANDED by 12'S (LARGE),WHITE EGG BRANDED by 12'S (LARGE),P4,RETAIL,POULTRY - EGG,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,EGG,EGG,TGM
2024,APRIL,04/01/2024,POS24040100036,9,THE GOOD MEAT WHITE EGG BRANDED BY 12'S (LARGE),123.00,DZN,x 1, ,1.00000,DZN,0.00000,0.00000,12.00000,PHP,123.00000,15%,104.55000,EGG,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM WHITE EGG BRANDED by 12'S (LARGE),WHITE EGG BRANDED by 12'S (LARGE),P4,RETAIL,POULTRY - EGG,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,EGG,EGG,TGM
2024,APRIL,04/01/2024,POS24040100038,2,THE GOOD MEAT PORK STEAK,389.00,KGs,"x 1,000", ,500.00000,Gs,0.00000,0.50000,0.00000,PHP,194.50000,15%,165.32000,PORK,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM PORK STEAK,PORK STEAK,PORK STEAK,RETAIL,MEAT,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,PORK,SHOWCASE,TGM
2024,APRIL,04/01/2024,POS24040100048,1,THE GOOD MEAT BEEF KALDERETA CUT,539.00,KGs,"x 1,000", ,495.00000,Gs,0.00000,0.49500,0.00000,PHP,266.81000,15%,226.78000,BEEF,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM BEEF KALDERETA CUT,BEEF KALDERETA CUT,BEEF KALDERETA CUT,RETAIL,MEAT,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,BEEF,SHOWCASE,TGM
2024,APRIL,04/01/2024,POS24040100050,1,THE GOOD MEAT ADOBO CUT,379.00,KGs,"x 1,000", ,475.00000,Gs,0.00000,0.47500,0.00000,PHP,180.03000,15%,153.02000,PORK,SOUTH GMA,NORMS,WESHOP,SOUTH GMA,0,TGM ADOBO CUT,ADOBO CUT,ADOBO CUT,RETAIL,MEAT,VAM WITH TGM SHOWCASE AND SRP,OK,Manila,1st District Metro Manila,PORK,SHOWCASE,TGM
