YEAR,MONTH,CUT-OFF,CHAIN,BANNER,Vendor Code,Store Code,Store Name,SKU#,Barcode,Description,Selling UOM,ORIG QTY,PACK,KILOS,PCS,Sales Amount,Commission,Payable Amount,Note,SKU CATEGORY,AREA,KAM,SKU PER BRAND,GENERALIZED SKU,MOTHER SKU,Sales Category,SKU Department,PLACEMENT,PLACEMENT REMARKS,,,,,
2024,JAN,JAN 1 TO 2,WALTERMART,WALTERMART,3812,4238,WALTERMART-BALIWAG,380169,380169,TGM PORK PIGUE SLBL/KG        ,KGS,1.65400,0.00000,1.65400,0.00000,544.17000,70.74000,473.43000,-,PORK,NORTH,BERT,TGM PIGUE SLBL,PIGUE SLBL,PIGUE,RETAIL,MEAT,TGM SHOWCASE,OK,Baliuag,Bulacan,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 2,WALTERMART,WALTERMART,3812,4238,WALTERMART-BALIWAG,380172,380172,TGM PORK PIGS FEET/KG         ,KGS,15.26600,0.00000,15.26600,0.00000,2263.28000,294.23000,1969.05000,-,PORK,NORTH,BERT,TGM PIGS FEET,PIGS FEET,PIG'S FEET,RETAIL,MEAT,TGM SHOWCASE,OK,Baliuag,Bulacan,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 2,WALTERMART,WALTERMART,3812,4238,WALTERMART-BALIWAG,380176,380176,TGM PORK LIVER/KG             ,KGS,1.18800,0.00000,1.18800,0.00000,236.41000,30.73000,205.68000,-,PORK,NORTH,BERT,TGM PORK LIVER,PORK LIVER,PORK LIVER,RETAIL,MEAT,TGM SHOWCASE,OK,Baliuag,Bulacan,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 2,WALTERMART,WALTERMART,3812,4238,WALTERMART-BALIWAG,380177,380177,TGM PORK LECHON KAWALI CUT/KG ,KGS,20.31000,0.00000,20.31000,0.00000,9075.09000,1179.76000,7895.33000,-,PORK,NORTH,BERT,TGM LECHON KAWALI CUT,LECHON KAWALI CUT,BELLY,RETAIL,MEAT,TGM SHOWCASE,OK,Baliuag,Bulacan,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 2,WALTERMART,WALTERMART,3812,4238,WALTERMART-BALIWAG,380202,380202,TGM BEFF GROUND/KG            ,KGS,27.39000,0.00000,27.39000,0.00000,9832.99000,1278.29000,8554.70000,-,BEEF,NORTH,BERT,TGM REGULAR GROUND BEEF,REGULAR GROUND BEEF,GROUND BEEF,RETAIL,MEAT,TGM SHOWCASE,OK,Baliuag,Bulacan,BEEF,SHOWCASE,TGM
2024,JAN,JAN 1 TO 2,WALTERMART,WALTERMART,3812,4238,WALTERMART-BALIWAG,380204,380204,TGM BEEF CUBES/KG             ,KGS,0.25000,0.00000,0.25000,0.00000,122.25000,15.89000,106.36000,-,BEEF,NORTH,BERT,TGM BEEF CUBES,BEEF CUBES,BEEF CUBES,RETAIL,MEAT,TGM SHOWCASE,OK,Baliuag,Bulacan,BEEF,SHOWCASE,TGM
2024,JAN,JAN 1 TO 2,WALTERMART,WALTERMART,3812,4238,WALTERMART-BALIWAG,380205,380205,TGM BEEF SHANK/KG             ,KGS,3.69200,0.00000,3.69200,0.00000,1694.63000,220.30000,1474.33000,-,BEEF,NORTH,BERT,TGM BEEF SHANK,BEEF SHANK,BEEF SHANK,RETAIL,MEAT,TGM SHOWCASE,OK,Baliuag,Bulacan,BEEF,SHOWCASE,TGM
2024,JAN,JAN 1 TO 2,WALTERMART,WALTERMART,3812,4238,WALTERMART-BALIWAG,380206,380206,TGM BEEF SIRLOIN/KG           ,KGS,3.73200,0.00000,3.73200,0.00000,1899.58000,246.95000,1652.63000,-,BEEF,NORTH,BERT,TGM BEEF SIRLOIN,BEEF SIRLOIN,BEEF SIRLOIN,RETAIL,MEAT,TGM SHOWCASE,OK,Baliuag,Bulacan,BEEF,SHOWCASE,TGM
2024,JAN,JAN 1 TO 2,WALTERMART,WALTERMART,3812,4238,WALTERMART-BALIWAG,380207,380207,TGM BEEF TENDERLOIN /KG       ,KGS,1.01400,0.00000,1.01400,0.00000,1012.99000,131.69000,881.30000,-,BEEF,NORTH,BERT,TGM BEEF TENDERLOIN,BEEF TENDERLOIN,BEEF TENDERLOIN,RETAIL,MEAT,TGM SHOWCASE,OK,Baliuag,Bulacan,BEEF,SHOWCASE,TGM
2024,JAN,JAN 1 TO 2,WALTERMART,WALTERMART,3812,4238,WALTERMART-BALIWAG,380211,380211,TGM BEEF RIB EYE STEAK/KG     ,KGS,2.69000,0.00000,2.69000,0.00000,1934.11000,251.43000,1682.68000,-,BEEF,NORTH,BERT,TGM RIB EYE STEAK,RIB EYE STEAK,BEEF RIB EYE,RETAIL,MEAT,TGM SHOWCASE,OK,Baliuag,Bulacan,BEEF,SHOWCASE,TGM
