YEAR,MONTH,CUT-OFF,SKU,Description,Tran Date,Post Date,Sell UOM,QTY,PACK,KG,PC,Concession Rate (%),Gross Sales Amt  (Incl of VAT),Concession Amt  (Excl of VAT),Input VAT,Concession Amt (Incl of VAT),AREA,CHAIN,BANNER,STORE CODE,BRANCH,SKU CATEGORY,SKU PER BRAND,GENERALIZED SKU,MOTHER SKU,Sales Category,SKU Department,PLACEMENT,PLACEMENT REMARKS,,,,,
2024,JAN,JAN 1 TO 2,104143253,TGM PORK SISIG 200G,1/6/2024,1/6/2024,EA,1.00000,1.00000,0.20000,0.00000,80,145.00000,103.57000,12.43000,116.00000,SOUTH GMA,METRO RETAIL,METRO GAISANO,2009,METRO - ALABANG,VAM,TGM PORK SISIG 200G,PORK SISIG 200G,VAM,RETAIL,RTE,VAM WITH SRP,OK,Muntinlupa,4th District Metro Manila,SISIG,VAM,TGM
2024,JAN,JAN 1 TO 2,104143263,TGM PORK TOCINO 400G,1/6/2024,1/6/2024,EA,1.00000,1.00000,0.40000,0.00000,80,158.00000,112.86000,13.54000,126.40000,SOUTH GMA,METRO RETAIL,METRO GAISANO,2009,METRO - ALABANG,VAM,TGM PORK TOCINO 400G,PORK TOCINO 400G,VAM,RETAIL,PERISHABLE,VAM WITH SRP,OK,Muntinlupa,4th District Metro Manila,PORK TOCINO,VAM,TGM
2024,JAN,JAN 1 TO 2,104143265,TGM PORK TAPA 400G,1/8/2024,1/8/2024,EA,1.00000,1.00000,0.40000,0.00000,80,170.00000,121.43000,14.57000,136.00000,SOUTH GMA,METRO RETAIL,METRO GAISANO,2009,METRO - ALABANG,VAM,TGM PORK TAPA 400G,PORK TAPA 400G,VAM,RETAIL,PERISHABLE,VAM WITH SRP,OK,Muntinlupa,4th District Metro Manila,PORK TAPA,VAM,TGM
2024,JAN,JAN 1 TO 2,104143246,TGM FARMERS HAM 200G,1/20/2024,1/20/2024,EA,2.00000,2.00000,0.40000,0.00000,80,310.00000,221.43000,26.57000,248.00000,SOUTH GMA,METRO RETAIL,METRO GAISANO,2009,METRO - ALABANG,VAM,TGM FARMER'S HAM200G,FARMER'S HAM200G,VAM,RETAIL,PERISHABLE,VAM WITH SRP,OK,Muntinlupa,4th District Metro Manila,FARMER'S HAM,VAM,TGM
2024,JAN,JAN 1 TO 2,104143246,TGM FARMERS HAM 200G,1/21/2024,1/21/2024,EA,2.00000,2.00000,0.40000,0.00000,80,310.00000,221.43000,26.57000,248.00000,SOUTH GMA,METRO RETAIL,METRO GAISANO,2009,METRO - ALABANG,VAM,TGM FARMER'S HAM200G,FARMER'S HAM200G,VAM,RETAIL,PERISHABLE,VAM WITH SRP,OK,Muntinlupa,4th District Metro Manila,FARMER'S HAM,VAM,TGM
2024,JAN,JAN 1 TO 2,104143256,TGM SMOKED BACON 400G,1/25/2024,1/25/2024,EA,1.00000,1.00000,0.40000,0.00000,80,335.00000,239.29000,28.71000,268.00000,SOUTH GMA,METRO RETAIL,METRO GAISANO,2009,METRO - ALABANG,VAM,TGM SMOKED BACON 400G,SMOKED BACON 400G,VAM,RETAIL,PERISHABLE,VAM WITH SRP,OK,Muntinlupa,4th District Metro Manila,SMOKED BACON,VAM,TGM
