YEAR,MONTH,DATE,CHAIN,Branch Code,Branch,SKU,Description,ORIG QTY,UOM,PACK,KG,PCS,Gross Sales,Comm Amount,Net Sales,SKU CATEGORY,AREA,KAM,SKU REPORT IDENTIFIER 1,UPC,BANNER,SKU PER BRAND,GENERALIZED SKU,MOTHER SKU,Sales Category,SKU Department,PLACEMENT,PLACEMENT REMARKS,NET TAX,TAX,,,,,
2024,APR,APR 1 TO 7,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61755,TGM PORK STEAK,6.99000,KG,0.00000,6.99000,0.00000,2717.40000,326.08300,2391.31700,PORK,SOUTH GMA,NORMS,PORK,317510_240408,PUREGOLD,TGM PORK STEAK,PORK STEAK,PORK STEAK,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61758,TGM PORKCHOP SOBI,3.51000,KG,0.00000,3.51000,0.00000,1316.85000,158.01900,1158.83100,PORK,SOUTH GMA,NORMS,PORK,317510_240408,PUREGOLD,TGM PORKCHOP SOBI,PORKCHOP SOBI,PORKCHOP,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61759,TGM REGULAR GROUND PORK,13.30000,KG,0.00000,13.30000,0.00000,4356.43000,522.76300,3833.66700,PORK,SOUTH GMA,NORMS,PORK,317510_240408,PUREGOLD,TGM REGULAR GROUND PORK,REGULAR GROUND PORK,REGULAR GROUND PORK,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61760,TGM RIB SHOULDER,4.93000,KG,0.00000,4.93000,0.00000,1861.75000,223.40700,1638.34300,PORK,SOUTH GMA,NORMS,PORK,317510_240408,PUREGOLD,TGM RIB SHOULDER,RIB SHOULDER,RIB SHOULDER,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61781,TGM SINIGANG CUT,10.42000,KG,0.00000,10.42000,0.00000,2913.15000,349.57300,2563.57700,PORK,SOUTH GMA,NORMS,PORK,317510_240408,PUREGOLD,TGM PORK SINIGANG CUT,PORK SINIGANG CUT,PORK SINIGANG CUT,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61786,TGM TENDERLOIN,0.52000,KG,0.00000,0.52000,0.00000,238.88000,28.66500,210.21500,PORK,SOUTH GMA,NORMS,PORK,317510_240408,PUREGOLD,TGM PORK TENDERLOIN,PORK TENDERLOIN,PORK TENDERLOIN,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61787,TGM TONKATSU SLICE,2.71000,KG,0.00000,2.71000,0.00000,1049.62000,125.95100,923.66900,PORK,SOUTH GMA,NORMS,PORK,317510_240408,PUREGOLD,TGM TONKATSU SLICE,TONKATSU SLICE,TONKATSU SLICE,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61820,TGM BEEF BRISKET,2.28000,KG,0.00000,2.28000,0.00000,1231.62000,147.79300,1083.82700,BEEF,SOUTH GMA,NORMS,BEEF,317510_240408,PUREGOLD,TGM BEEF BRISKET,BEEF BRISKET,BEEF BRISKET,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,BEEF,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61833,TGM BEEF CUBES,1.51000,KG,0.00000,1.51000,0.00000,804.60000,96.55000,708.05000,BEEF,SOUTH GMA,NORMS,BEEF,317510_240408,PUREGOLD,TGM BEEF CUBES,BEEF CUBES,BEEF CUBES,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,BEEF,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61841,TGM BEEF SHORT RIBS,3.25000,KG,0.00000,3.25000,0.00000,1741.43000,208.97100,1532.45900,BEEF,SOUTH GMA,NORMS,BEEF,317510_240408,PUREGOLD,TGM BEEF SHORT RIBS,BEEF SHORT RIBS,BEEF SHORT RIBS,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,BEEF,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61842,TGM BEEF SIRLOIN,1.03000,KG,0.00000,1.03000,0.00000,633.45000,76.01400,557.43600,BEEF,SOUTH GMA,NORMS,BEEF,317510_240408,PUREGOLD,TGM BEEF SIRLOIN,BEEF SIRLOIN,BEEF SIRLOIN,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,BEEF,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61845,TGM BEEF SUKIYAKI CUT,0.29000,KG,0.00000,0.29000,0.00000,185.56000,22.26700,163.29300,BEEF,SOUTH GMA,NORMS,BEEF,317510_240408,PUREGOLD,TGM BEEF SUKIYAKI CUT,BEEF SUKIYAKI CUT,BEEF SUKIYAKI CUT,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,BEEF,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61850,TGM BREAKFAST STEAK,3.54000,KG,0.00000,3.54000,0.00000,2191.42000,262.96700,1928.45300,BEEF,SOUTH GMA,NORMS,BEEF,317510_240408,PUREGOLD,TGM BREAKFAST STEAK,BREAKFAST STEAK,BEEF BREAKFAST STEAK,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,BEEF,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,113 ARA,PUREGOLD ARANETA CUBAO,61852,TGM GROUND BEEF,11.34000,KG,0.00000,11.34000,0.00000,4270.30000,512.43100,3757.86900,BEEF,SOUTH GMA,NORMS,BEEF,317510_240408,PUREGOLD,TGM REGULAR GROUND BEEF,REGULAR GROUND BEEF,GROUND BEEF,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,BEEF,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,158 BLNTWK,PUREGOLD BALINTAWAK,61720,TGM BABY BACK RIBS,3.21000,KG,0.00000,3.21000,0.00000,1445.79000,173.49400,1272.29600,PORK,GMA,ARGIE,PORK,317511_240408,PUREGOLD,TGM BABY BACK RIBS,BABY BACK RIBS,BABY BACK RIBS,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,158 BLNTWK,PUREGOLD BALINTAWAK,61721,TGM BACON SLICE,1.91000,KG,0.00000,1.91000,0.00000,952.68000,114.31900,838.36100,PORK,GMA,ARGIE,PORK,317511_240408,PUREGOLD,TGM BACON SLICE,BACON SLICE,BELLY,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,158 BLNTWK,PUREGOLD BALINTAWAK,61744,TGM PORK LIVER,1.86000,KG,0.00000,1.86000,0.00000,412.50000,49.49700,363.00300,PORK,GMA,ARGIE,PORK,317511_240408,PUREGOLD,TGM PORK LIVER,PORK LIVER,PORK LIVER,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,APR,APR 1 TO 7,PUREGOLD,158 BLNTWK,PUREGOLD BALINTAWAK,61749,TGMT PORK SPARERIBS,0.50000,KG,0.00000,0.50000,0.00000,216.65000,25.99800,190.65200,PORK,GMA,ARGIE,PORK,317511_240408,PUREGOLD,TGM PORK SPARERIBS,PORK SPARERIBS,RIB SHOULDER,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,0.00000,0.00000,Quezon City,2nd District Metro Manila,PORK,SHOWCASE,TGM
