YEAR,MONTH,DATE,CHAIN,Branch Code,Branch,SKU,Description,ORIG QTY,UOM,PACK,KG,PCS,Gross Sales,Comm Amount,Net Sales,SKU CATEGORY,AREA,KAM,SKU REPORT IDENTIFIER 1,UPC,BANNER,SKU PER BRAND,GENERALIZED SKU,MOTHER SKU,Sales Category,SKU Department,PLACEMENT,PLACEMENT REMARKS,NET TAX,TAX,,,,,
2024,JAN,JAN 1 TO 7,ROBINSON,248,RS SAN CARLOS TC PANGASINAN,655314,THE GOOD MEAT REGULAR GROUND PORK,82.97400,KLS,0.00000,82.97400,0.00000,22269.89000,3117.78460,19152.10540,PORK,NORTH,MARTIN,PORK,6239,ROBINSONS SUPERMARKET,PILMICO REGULAR GROUND PORK,REGULAR GROUND PORK,REGULAR GROUND PORK,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,22269.89000,0.00000,San Carlos City,Pangasinan,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 7,ROBINSON,804,SW SAN ROQUE ANTIPOLO,655292,THE GOOD MEAT MENUDO CUT,65.29000,KLS,0.00000,65.29000,0.00000,22047.80000,3086.69200,18961.10800,PORK,RIZAL,DENNIS,PORK,6220,SHOPWISE,PILMICO PORK MENUDO CUT,PORK MENUDO CUT,MENUDO CUT,RETAIL,MEAT,VAM WITH COCHINILLO AND TGM SHOWCASE,OK,22047.80000,0.00000,Antipolo,Rizal,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 7,ROBINSON,717,TMP SANTOLAN TOWN PLAZA,659617,FM PORK BELLY GRILL CUT,44.36500,KLS,0.00000,44.36500,0.00000,22042.59000,2645.11080,19397.47920,PORK,SOUTH GMA,JOMAR,PORK,7376,THE MARKET PLACE,FM PORK BELLY GRILL CUT,PORK BELLY GRILL CUT,BELLY,RETAIL,MEAT,VAM WITH HB SHOWCASE,OK,22042.59000,0.00000,San Juan,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 7,ROBINSON,705,RS NEPOMALL DAGUPAN,655512,THE GOOD MEAT GROUND BEEF,57.05500,KLS,0.00000,57.05500,0.00000,20956.99000,2933.97860,18023.01140,BEEF,NORTH,MARTIN,BEEF,6334,ROBINSONS SUPERMARKET,PILMICO REGULAR GROUND BEEF,REGULAR GROUND BEEF,GROUND BEEF,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,20956.99000,0.00000,Dagupan City,Pangasinan,BEEF,SHOWCASE,TGM
2024,JAN,JAN 1 TO 7,ROBINSON,804,SW SAN ROQUE ANTIPOLO,655514,THE GOOD MEAT GROUND ROUND,45.42500,KLS,0.00000,45.42500,0.00000,20759.90000,2906.38600,17853.51400,BEEF,RIZAL,DENNIS,BEEF,6337,SHOPWISE,PILMICO GROUND ROUND,GROUND ROUND,GROUND ROUND,RETAIL,MEAT,VAM WITH COCHINILLO AND TGM SHOWCASE,OK,20759.90000,0.00000,Antipolo,Rizal,BEEF,SHOWCASE,TGM
2024,JAN,JAN 1 TO 7,ROBINSON,210,RS RP TARLAC,655314,THE GOOD MEAT REGULAR GROUND PORK,76.82500,KLS,0.00000,76.82500,0.00000,20620.99000,2886.93860,17734.05140,PORK,NORTH,EMMAN,PORK,6239,ROBINSONS SUPERMARKET,PILMICO REGULAR GROUND PORK,REGULAR GROUND PORK,REGULAR GROUND PORK,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,20620.99000,0.00000,Tarlac City,Tarlac,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 7,ROBINSON,401,RS METROTOWN TARLAC,657471,THE GOOD MEAT LECHON KAWALI CUT,50.49500,KLS,0.00000,50.49500,0.00000,20129.56000,3220.72960,16908.83040,PORK,NORTH,GELO,PORK,7074,ROBINSONS SUPERMARKET,PILMICO LECHON KAWALI CUT,LECHON KAWALI CUT,BELLY,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,20129.56000,0.00000,Tarlac City,Tarlac,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 7,ROBINSON,229,RS RP SANTIAGO,655512,THE GOOD MEAT GROUND BEEF,50.85000,KLS,0.00000,50.85000,0.00000,19724.64000,2761.44960,16963.19040,BEEF,NORTH,FLORANTE,BEEF,6334,ROBINSONS SUPERMARKET,PILMICO REGULAR GROUND BEEF,REGULAR GROUND BEEF,GROUND BEEF,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,19724.64000,0.00000,Santiago,Isabela,BEEF,SHOWCASE,TGM
2024,JAN,JAN 1 TO 7,ROBINSON,717,TMP SANTOLAN TOWN PLAZA,655315,THE GOOD MEAT LEAN GROUND PORK,53.39500,KLS,0.00000,53.39500,0.00000,19612.08000,2353.44960,17258.63040,PORK,SOUTH GMA,JOMAR,PORK,6240,THE MARKET PLACE,PILMICO LEAN GROUND PORK,LEAN GROUND PORK,LEAN GROUND PORK,RETAIL,MEAT,VAM WITH HB SHOWCASE,OK,19612.08000,0.00000,San Juan,2nd District Metro Manila,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 7,ROBINSON,221,RS RP PANGASINAN,655315,THE GOOD MEAT LEAN GROUND PORK,61.55000,KLS,0.00000,61.55000,0.00000,19549.00000,2736.86000,16812.14000,PORK,NORTH,MARTIN,PORK,6240,ROBINSONS SUPERMARKET,PILMICO LEAN GROUND PORK,LEAN GROUND PORK,LEAN GROUND PORK,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,19549.00000,0.00000,Calasiao,Pangasinan,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 7,ROBINSON,229,RS RP SANTIAGO,655314,THE GOOD MEAT REGULAR GROUND PORK,71.64000,KLS,0.00000,71.64000,0.00000,19234.02000,2692.76280,16541.25720,PORK,NORTH,FLORANTE,PORK,6239,ROBINSONS SUPERMARKET,PILMICO REGULAR GROUND PORK,REGULAR GROUND PORK,REGULAR GROUND PORK,RETAIL,MEAT,VAM WITH TGM SHOWCASE,OK,19234.02000,0.00000,Santiago,Isabela,PORK,SHOWCASE,TGM
2024,JAN,JAN 1 TO 7,ROBINSON,722,TMP ALPHALAND MAKATI,662431,THE GOOD MEA REGULAR GROUND PORK 250G CD,57.15000,KLS,0.00000,57.15000,0.00000,18788.69000,2254.64280,16534.04720,PORK,SOUTH GMA,JOMAR,PORK,7635,THE MARKET PLACE,PILMICO REGULAR GROUND PORK 250G CD,REGULAR GROUND PORK 250G CD,PROMO,RETAIL,MEAT,VAM WITH HB SHOWCASE,OK,18788.69000,0.00000,Makati,4th District Metro Manila,PORK,SHOWCASE,TGM
