,1,Sales Liquidation By SKU,Report  Date: 01-04-2024 03:04,,,,,,,
,1,(Reference No:C_INVC_PO17308789),,,,,,,,
,1,,Page 1 Of 1,,,,,,,
,  1 1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
From Period: 01-MAR-2024  ,To period: 31-MAR-2024,  Reference No:   C_INVC_PO17308789          ,                            PO No: 17308789        ,,,,,,,
,,,,,,,,,,
CONCESSIONAIRE,,,,,,,,,,
Supplier Site:    ,903066   -   PILMICO ANIMAL NUTRITION CORPORATION                                                                                                                                      ,Store:    ,2012-METRO GAISANO MARKET (BINONDO)          ,,,,,,,
Supplier Site Address:,ABOITIZ CORPORATE CENTER GOV. MANUEL A. CUENCE AVE. KASAMBAGAN,Department:,2020  - Meat and Poultry          ,,,,,,,
,",CEBU CITY",,,,,,,,,
SKU and transaction date wise summary:-,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SKU,Description,Tran Date,Post Date,Sell UOM,QTY,Concession ,Gross Sales Amt ,Concession Amt ,Input VAT,Concession Amt
,,,,,,Rate   (%),(Incl of VAT),(Excl of VAT),,(Incl of VAT)
21825,TGM - GROUND BEEF - KILO,1-Mar-24,1-Mar-24,KG,0.73,88,269.37,237.05,0,237.05  
21826,TGM - PORKCHOP SOBI - KILO,1-Mar-24,1-Mar-24,KG,0.64,88,229.76,202.19,0,202.19  
21834,TGM - REGULAR GROUND PORK - KILO,1-Mar-24,1-Mar-24,KG,0.31,88,85.1,74.89,0,74.89  
21841,TGM - LEAN GROUND PORK - KILO,1-Mar-24,1-Mar-24,KG,3.78,88,"1,053.23",926.84,0,926.84  
21844,TGM - PORK BABY BACK RIBS - KILO,1-Mar-24,1-Mar-24,KG,1.93,88,866.57,762.58,0,762.58  
21851,TGM - PORK LIVER - KILO,1-Mar-24,1-Mar-24,KG,0.31,88,60.7,53.42,0,53.42  
21854,TGM - PORK PORKCHOP SKINLESS - KILO,1-Mar-24,1-Mar-24,KG,0.4,88,151.6,133.41,0,133.41  
21857,TGM - PORK SUKIYAKI CUT - KILO,1-Mar-24,1-Mar-24,KG,0.37,88,173.53,152.71,0,152.71  
21862,TGM - PORKCHOP BONELESS - KILO,1-Mar-24,1-Mar-24,KG,2,88,798,702.24,0,702.24  
21865,TGM - PORK SAMGYEOPSAL - KILO,1-Mar-24,1-Mar-24,KG,0.55,88,255.61,224.94,0,224.94  
21866,TGM - PORK ADOBO CUT - KILO,1-Mar-24,1-Mar-24,KG,2.87,88,942.59,829.48,0,829.48  
21871,TGM - BEEF CUBES - KILO,1-Mar-24,1-Mar-24,KG,0.16,88,82,72.16,0,72.16  
21873,TGM - BEEF SIRLOIN - KILO,1-Mar-24,1-Mar-24,KG,0.69,88,437.72,385.19,0,385.19  
21881,TGM - BEEF BRISKET BL - KILO,1-Mar-24,1-Mar-24,KG,0.8,88,428.51,377.09,0,377.09  
21920,TGM - BEEF SUKIYAKI - KILO,1-Mar-24,1-Mar-24,KG,0.96,86,603.84,519.3,0,519.30  
21826,TGM - PORKCHOP SOBI - KILO,2-Mar-24,2-Mar-24,KG,0.2,88,70.01,61.61,0,61.61  
21832,TGM - PORK BELLY SOBI - KILO,2-Mar-24,2-Mar-24,KG,1.27,88,553.15,486.77,0,486.77  
21834,TGM - REGULAR GROUND PORK - KILO,2-Mar-24,2-Mar-24,KG,0.38,88,106.02,93.3,0,93.30  
21838,TGM - PORK MENUDO CUT - KILO,2-Mar-24,2-Mar-24,KG,0.9,88,294.46,259.12,0,259.12  
21843,TGM - PORK STEAK - KILO,2-Mar-24,2-Mar-24,KG,2.54,88,836.75,736.34,0,736.34  
21844,TGM - PORK BABY BACK RIBS - KILO,2-Mar-24,2-Mar-24,KG,1.4,88,626.36,551.2,0,551.20  
21846,TGM - PORK RIB SHOULDER - KILO,2-Mar-24,2-Mar-24,KG,2.19,88,828.12,728.75,0,728.75  
21854,TGM - PORK PORKCHOP SKINLESS - KILO,2-Mar-24,2-Mar-24,KG,0.46,88,174.34,153.42,0,153.42  
21866,TGM - PORK ADOBO CUT - KILO,2-Mar-24,2-Mar-24,KG,0.55,88,179.31,157.79,0,157.79  
21868,TGM - KASIM SLBL - KILO,2-Mar-24,2-Mar-24,KG,0.76,88,240.85,211.95,0,211.95  
21870,TGM - KASIM SOBL - KILO,2-Mar-24,2-Mar-24,KG,1.15,88,399.61,351.66,0,351.66  
