,1,Sales Liquidation By SKU,Report  Date: 01-02-2024 09:02,,,,,,,
,1,(Reference No:C_INVC_PO17023427),,,,,,,,
,1,,Page 1 Of 1,,,,,,,
,  1 1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
From Period: 01-JAN-2024  ,To period: 31-JAN-2024,  Reference No:   C_INVC_PO17023427          ,                            PO No: 17023427        ,,,,,,,
,,,,,,,,,,
CONCESSIONAIRE,,,,,,,,,,
Supplier Site:    ,903066   -   PILMICO ANIMAL NUTRITION CORPORATION                                                                                                                                      ,Store:    ,6014-THE METRO GAISANO TAGAYTAY          ,,,,,,,
Supplier Site Address:,ABOITIZ CORPORATE CENTER GOV. MANUEL A. CUENCE AVE. KASAMBAGAN,Department:,2020  - Meat and Poultry          ,,,,,,,
,",CEBU CITY",,,,,,,,,
SKU and transaction date wise summary:-,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SKU,Description,Tran Date,Post Date,Sell UOM,QTY,Concession ,Gross Sales Amt ,Concession Amt ,Input VAT,Concession Amt
,,,,,,Rate   (%),(Incl of VAT),(Excl of VAT),,(Incl of VAT)
104086250,TGM - PORK SAMGYUPSAL 500G - PACK,4-Jan-24,4-Jan-24,EA,1,88,260,228.8,0,228.80  
104086250,TGM - PORK SAMGYUPSAL 500G - PACK,5-Jan-24,5-Jan-24,EA,1,88,247,217.36,0,217.36  
104086256,TGM - BEEF SAMGYUPSAL 500G - PACK,7-Jan-24,7-Jan-24,EA,1,88,375,330,0,330.00  
104086256,TGM - BEEF SAMGYUPSAL 500G - PACK,12-Jan-24,12-Jan-24,EA,1,88,375,330,0,330.00  
104086250,TGM - PORK SAMGYUPSAL 500G - PACK,13-Jan-24,13-Jan-24,EA,1,88,260,228.8,0,228.80  
104086256,TGM - BEEF SAMGYUPSAL 500G - PACK,13-Jan-24,13-Jan-24,EA,1,88,375,330,0,330.00  
104086256,TGM - BEEF SAMGYUPSAL 500G - PACK,16-Jan-24,16-Jan-24,EA,1,88,375,330,0,330.00  
104086256,TGM - BEEF SAMGYUPSAL 500G - PACK,17-Jan-24,17-Jan-24,EA,3,88,"1,125.00",990,0,990.00  
104086250,TGM - PORK SAMGYUPSAL 500G - PACK,23-Jan-24,23-Jan-24,EA,2,88,520,457.6,0,457.60  
104086256,TGM - BEEF SAMGYUPSAL 500G - PACK,25-Jan-24,25-Jan-24,EA,2,88,712.5,627,0,627.00  
104086250,TGM - PORK SAMGYUPSAL 500G - PACK,26-Jan-24,26-Jan-24,EA,2,88,520,457.6,0,457.60  
104086250,TGM - PORK SAMGYUPSAL 500G - PACK,29-Jan-24,29-Jan-24,EA,1,88,260,228.8,0,228.80  
Total Amount (PHP) :,,,,,,,"5,404.50","4,755.96",0,"4,755.96"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SKU wise summary:-,,,,,,,,,,
,,,,,,,,,,
Item Summary #,SKU,Description,QTY,Concession Amt ,Input VAT,Concession Amt,,,,
,,,,(Excl of VAT),,(Incl of VAT),,,,
1,104086250,TGM - PORK SAMGYUPSAL 500G - PACK,8,"1,818.96",0,"1,818.96  ",,,,
2,104086256,TGM - BEEF SAMGYUPSAL 500G - PACK,9,"2,937.00",0,"2,937.00  ",,,,
,Total Amount (PHP) :,,,"4,755.96",0,"4,755.96",,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
NOTE:  Concession Rate (%) = 100% - Latest Commission Rate of the Item ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
APPROVED BY:,,,,,,,,,,
,,,,,,,,,,
                                                       _______________________________,,,,,,,,,,
                                                               MERCHANDISING,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
End of Report ,,,,,,,,,,
