,1,Sales Liquidation By SKU,Report  Date: 01-02-2024 09:02,,,,,,,
,1,(Reference No:C_INVC_PO17025700),,,,,,,,
,1,,Page 1 Of 1,,,,,,,
,  1 1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
From Period: 01-JAN-2024  ,To period: 31-JAN-2024,  Reference No:   C_INVC_PO17025700          ,                            PO No: 17025700        ,,,,,,,
,,,,,,,,,,
CONCESSIONAIRE,,,,,,,,,,
Supplier Site:    ,903066   -   PILMICO ANIMAL NUTRITION CORPORATION                                                                                                                                      ,Store:    ,2012-METRO GAISANO MARKET (BINONDO)          ,,,,,,,
Supplier Site Address:,ABOITIZ CORPORATE CENTER GOV. MANUEL A. CUENCE AVE. KASAMBAGAN,Department:,2020  - Meat and Poultry          ,,,,,,,
,",CEBU CITY",,,,,,,,,
SKU and transaction date wise summary:-,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SKU,Description,Tran Date,Post Date,Sell UOM,QTY,Concession ,Gross Sales Amt ,Concession Amt ,Input VAT,Concession Amt
,,,,,,Rate   (%),(Incl of VAT),(Excl of VAT),,(Incl of VAT)
21865,TGM - PORK SAMGYEOPSAL - KILO,5-Jan-24,5-Jan-24,KG,1.05,88,492.45,433.36,0,433.36  
21866,TGM - PORK ADOBO CUT - KILO,5-Jan-24,5-Jan-24,KG,1.06,88,348.74,306.89,0,306.89  
21870,TGM - KASIM SOBL - KILO,5-Jan-24,5-Jan-24,KG,0.82,88,284.44,250.31,0,250.31  
104086242,TGM - BELLY SKIN ON BONE IN 500G - PACK,6-Jan-24,6-Jan-24,EA,1,88,250,220,0,220.00  
104086250,TGM - PORK SAMGYUPSAL 500G - PACK,6-Jan-24,6-Jan-24,EA,1,88,260,228.8,0,228.80  
21832,TGM - PORK BELLY SOBI - KILO,6-Jan-24,6-Jan-24,KG,0.55,88,241.45,212.48,0,212.48  
21834,TGM - REGULAR GROUND PORK - KILO,6-Jan-24,6-Jan-24,KG,0.53,88,141.23,124.28,0,124.28  
21838,TGM - PORK MENUDO CUT - KILO,6-Jan-24,6-Jan-24,KG,0.21,88,67.63,59.51,0,59.51  
21841,TGM - LEAN GROUND PORK - KILO,6-Jan-24,6-Jan-24,KG,1.06,88,328.1,288.73,0,288.73  
21843,TGM - PORK STEAK - KILO,6-Jan-24,6-Jan-24,KG,3.04,88,"1,028.87",905.41,0,905.41  
21844,TGM - PORK BABY BACK RIBS - KILO,6-Jan-24,6-Jan-24,KG,0.97,88,425.83,374.73,0,374.73  
21859,TGM - PORK BACON SLICE - KILO,6-Jan-24,6-Jan-24,KG,0.5,88,232.16,204.3,0,204.30  
21865,TGM - PORK SAMGYEOPSAL - KILO,6-Jan-24,6-Jan-24,KG,2.18,88,"1,017.74",895.61,0,895.61  
21866,TGM - PORK ADOBO CUT - KILO,6-Jan-24,6-Jan-24,KG,1.02,88,335.58,295.31,0,295.31  
21872,TGM - GROUND ROUND - KILO,6-Jan-24,6-Jan-24,KG,2.09,88,959.32,844.2,0,844.20  
21892,TGM - BEEF BREAKFAST STEAK - KILO,6-Jan-24,6-Jan-24,KG,0.32,88,194.99,171.59,0,171.59  
21834,TGM - REGULAR GROUND PORK - KILO,7-Jan-24,7-Jan-24,KG,1.65,88,442.51,389.41,0,389.41  
21838,TGM - PORK MENUDO CUT - KILO,7-Jan-24,7-Jan-24,KG,0.52,88,174.59,153.64,0,153.64  
21841,TGM - LEAN GROUND PORK - KILO,7-Jan-24,7-Jan-24,KG,1.81,88,575.8,506.7,0,506.70  
21843,TGM - PORK STEAK - KILO,7-Jan-24,7-Jan-24,KG,5.51,88,"1,842.39","1,621.30",0,"1,621.30  "
