,1,Sales Liquidation By SKU,Report  Date: 01-04-2024 03:04,,,,,,,
,1,(Reference No:C_INVC_PO17304835),,,,,,,,
,1,,Page 1 Of 1,,,,,,,
,  1 1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
From Period: 01-MAR-2024  ,To period: 31-MAR-2024,  Reference No:   C_INVC_PO17304835          ,                            PO No: 17304835        ,,,,,,,
,,,,,,,,,,
CONCESSIONAIRE,,,,,,,,,,
Supplier Site:    ,903066   -   PILMICO ANIMAL NUTRITION CORPORATION                                                                                                                                      ,Store:    ,3022-THE METRO GAISANO - GENERAL TRIAS          ,,,,,,,
Supplier Site Address:,ABOITIZ CORPORATE CENTER GOV. MANUEL A. CUENCE AVE. KASAMBAGAN,Department:,2020  - Meat and Poultry          ,,,,,,,
,",CEBU CITY",,,,,,,,,
SKU and transaction date wise summary:-,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SKU,Description,Tran Date,Post Date,Sell UOM,QTY,Concession ,Gross Sales Amt ,Concession Amt ,Input VAT,Concession Amt
,,,,,,Rate   (%),(Incl of VAT),(Excl of VAT),,(Incl of VAT)
104086239,TGM - ADOBO CUT 500G - PACK,3-Mar-24,3-Mar-24,EA,1,88,185,162.8,0,162.80  
104086250,TGM - PORK SAMGYUPSAL 500G - PACK,3-Mar-24,3-Mar-24,EA,1,88,260,228.8,0,228.80  
104086256,TGM - BEEF SAMGYUPSAL 500G - PACK,3-Mar-24,3-Mar-24,EA,1,88,375,330,0,330.00  
104086256,TGM - BEEF SAMGYUPSAL 500G - PACK,4-Mar-24,4-Mar-24,EA,1,88,375,330,0,330.00  
104086250,TGM - PORK SAMGYUPSAL 500G - PACK,5-Mar-24,5-Mar-24,EA,1,88,260,228.8,0,228.80  
104086256,TGM - BEEF SAMGYUPSAL 500G - PACK,5-Mar-24,5-Mar-24,EA,1,88,375,330,0,330.00  
104086242,TGM - BELLY SKIN ON BONE IN 500G - PACK,8-Mar-24,8-Mar-24,EA,1,88,250,220,0,220.00  
104086250,TGM - PORK SAMGYUPSAL 500G - PACK,8-Mar-24,8-Mar-24,EA,1,88,260,228.8,0,228.80  
104086256,TGM - BEEF SAMGYUPSAL 500G - PACK,8-Mar-24,8-Mar-24,EA,1,88,375,330,0,330.00  
104086256,TGM - BEEF SAMGYUPSAL 500G - PACK,9-Mar-24,9-Mar-24,EA,1,88,375,330,0,330.00  
104086239,TGM - ADOBO CUT 500G - PACK,11-Mar-24,11-Mar-24,EA,1,88,185,162.8,0,162.80  
104086250,TGM - PORK SAMGYUPSAL 500G - PACK,13-Mar-24,13-Mar-24,EA,1,88,260,228.8,0,228.80  
104086256,TGM - BEEF SAMGYUPSAL 500G - PACK,16-Mar-24,16-Mar-24,EA,1,88,356.25,313.5,0,313.50  
104086250,TGM - PORK SAMGYUPSAL 500G - PACK,17-Mar-24,17-Mar-24,EA,1,88,260,228.8,0,228.80  
104086256,TGM - BEEF SAMGYUPSAL 500G - PACK,17-Mar-24,17-Mar-24,EA,2,88,750,660,0,660.00  
104086250,TGM - PORK SAMGYUPSAL 500G - PACK,18-Mar-24,18-Mar-24,EA,3,88,780,686.4,0,686.40  
104086250,TGM - PORK SAMGYUPSAL 500G - PACK,20-Mar-24,20-Mar-24,EA,1,88,260,228.8,0,228.80  
104086250,TGM - PORK SAMGYUPSAL 500G - PACK,23-Mar-24,23-Mar-24,EA,1,88,260,228.8,0,228.80  
104086250,TGM - PORK SAMGYUPSAL 500G - PACK,27-Mar-24,27-Mar-24,EA,2,88,520,457.6,0,457.60  
Total Amount (PHP) :,,,,,,,"6,721.25","5,914.70",0,"5,914.70"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SKU wise summary:-,,,,,,,,,,
,,,,,,,,,,
Item Summary #,SKU,Description,QTY,Concession Amt ,Input VAT,Concession Amt,,,,
,,,,(Excl of VAT),,(Incl of VAT),,,,
1,104086239,TGM - ADOBO CUT 500G - PACK,2,325.6,0,325.60  ,,,,
2,104086242,TGM - BELLY SKIN ON BONE IN 500G - PACK,1,220,0,220.00  ,,,,
3,104086250,TGM - PORK SAMGYUPSAL 500G - PACK,12,"2,745.60",0,"2,745.60  ",,,,
4,104086256,TGM - BEEF SAMGYUPSAL 500G - PACK,8,"2,623.50",0,"2,623.50  ",,,,
,Total Amount (PHP) :,,,"5,914.70",0,"5,914.70",,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
NOTE:  Concession Rate (%) = 100% - Latest Commission Rate of the Item ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
APPROVED BY:,,,,,,,,,,
,,,,,,,,,,
                                                       _______________________________,,,,,,,,,,
                                                               MERCHANDISING,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
End of Report ,,,,,,,,,,
