,1,Sales Liquidation By SKU,Report  Date: 01-04-2024 03:04,,,,,,,
,1,(Reference No:C_INVC_PO17306158),,,,,,,,
,1,,Page 1 Of 1,,,,,,,
,  1 1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
From Period: 01-MAR-2024  ,To period: 31-MAR-2024,  Reference No:   C_INVC_PO17306158          ,                            PO No: 17306158        ,,,,,,,
,,,,,,,,,,
CONCESSIONAIRE,,,,,,,,,,
Supplier Site:    ,903066   -   PILMICO ANIMAL NUTRITION CORPORATION                                                                                                                                      ,Store:    ,6014-THE METRO GAISANO TAGAYTAY          ,,,,,,,
Supplier Site Address:,ABOITIZ CORPORATE CENTER GOV. MANUEL A. CUENCE AVE. KASAMBAGAN,Department:,2020  - Meat and Poultry          ,,,,,,,
,",CEBU CITY",,,,,,,,,
SKU and transaction date wise summary:-,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SKU,Description,Tran Date,Post Date,Sell UOM,QTY,Concession ,Gross Sales Amt ,Concession Amt ,Input VAT,Concession Amt
,,,,,,Rate   (%),(Incl of VAT),(Excl of VAT),,(Incl of VAT)
21825,TGM - GROUND BEEF - KILO,1-Mar-24,1-Mar-24,KG,2.49,88,912.09,802.64,0,802.64  
21832,TGM - PORK BELLY SOBI - KILO,1-Mar-24,1-Mar-24,KG,0.57,88,250.23,220.2,0,220.20  
21834,TGM - REGULAR GROUND PORK - KILO,1-Mar-24,1-Mar-24,KG,3.47,88,"1,103.75",971.3,0,971.30  
21837,TGM - PORK SINIGANG CUT - KILO,1-Mar-24,1-Mar-24,KG,0.62,88,160.58,141.31,0,141.31  
21844,TGM - PORK BABY BACK RIBS - KILO,1-Mar-24,1-Mar-24,KG,0.54,88,240.22,211.39,0,211.39  
21845,TGM - PORK CUBES - KILO,1-Mar-24,1-Mar-24,KG,0.43,88,173.83,152.97,0,152.97  
21846,TGM - PORK RIB SHOULDER - KILO,1-Mar-24,1-Mar-24,KG,0.59,88,221.72,195.11,0,195.11  
21859,TGM - PORK BACON SLICE - KILO,1-Mar-24,1-Mar-24,KG,0.7,88,323.62,284.79,0,284.79  
21866,TGM - PORK ADOBO CUT - KILO,1-Mar-24,1-Mar-24,KG,2.42,88,792.9,697.75,0,697.75  
21892,TGM - BEEF BREAKFAST STEAK - KILO,1-Mar-24,1-Mar-24,KG,0.5,88,309.5,272.36,0,272.36  
104086250,TGM - PORK SAMGYUPSAL 500G - PACK,2-Mar-24,2-Mar-24,EA,2,88,520,457.6,0,457.60  
21825,TGM - GROUND BEEF - KILO,2-Mar-24,2-Mar-24,KG,0.73,88,267.53,235.43,0,235.43  
21826,TGM - PORKCHOP SOBI - KILO,2-Mar-24,2-Mar-24,KG,1.69,88,606.71,533.9,0,533.90  
21828,TGM - PORK MARINATED BELLY - KILO,2-Mar-24,2-Mar-24,KG,1.51,88,713.45,560.57,67.27,627.84  
21830,TGM - PORK TAPA - KILO,2-Mar-24,2-Mar-24,KG,0.28,88,117.98,92.7,11.12,103.82  
21832,TGM - PORK BELLY SOBI - KILO,2-Mar-24,2-Mar-24,KG,1.14,88,500.46,440.4,0,440.40  
21834,TGM - REGULAR GROUND PORK - KILO,2-Mar-24,2-Mar-24,KG,3.09,88,984.12,866.03,0,866.03  
21837,TGM - PORK SINIGANG CUT - KILO,2-Mar-24,2-Mar-24,KG,2.5,88,634.16,558.06,0,558.06  
21838,TGM - PORK MENUDO CUT - KILO,2-Mar-24,2-Mar-24,KG,0.5,88,162.86,143.32,0,143.32  
21845,TGM - PORK CUBES - KILO,2-Mar-24,2-Mar-24,KG,0.39,88,155.82,137.12,0,137.12  
21846,TGM - PORK RIB SHOULDER - KILO,2-Mar-24,2-Mar-24,KG,2.22,88,841.38,740.41,0,740.41  
21855,TGM - PORK TENDERLOIN - KILO,2-Mar-24,2-Mar-24,KG,0.9,88,392.44,345.35,0,345.35  
21859,TGM - PORK BACON SLICE - KILO,2-Mar-24,2-Mar-24,KG,0.43,88,196.99,173.35,0,173.35  
21869,TGM - PIGUE SOBL - KILO,2-Mar-24,2-Mar-24,KG,0.3,88,104.7,92.14,0,92.14  
21875,TGM - BEEF SHANK - KILO,2-Mar-24,2-Mar-24,KG,3.3,88,"1,611.26","1,417.91",0,"1,417.91  "
21892,TGM - BEEF BREAKFAST STEAK - KILO,2-Mar-24,2-Mar-24,KG,0.31,88,188.8,166.14,0,166.14  
21893,TGM - BEEF STROGANOFF - KILO,2-Mar-24,2-Mar-24,KG,1.06,88,666.74,586.73,0,586.73  
104086256,TGM - BEEF SAMGYUPSAL 500G - PACK,3-Mar-24,3-Mar-24,EA,1,88,375,330,0,330.00  
21826,TGM - PORKCHOP SOBI - KILO,3-Mar-24,3-Mar-24,KG,1.07,88,382.34,336.46,0,336.46  
21829,TGM - PORK BBQ SKEWERED - KILO,3-Mar-24,3-Mar-24,KG,1.02,88,437.58,343.81,41.26,385.07  
21832,TGM - PORK BELLY SOBI - KILO,3-Mar-24,3-Mar-24,KG,11.65,88,"5,114.35","4,500.63",0,"4,500.63  "
21834,TGM - REGULAR GROUND PORK - KILO,3-Mar-24,3-Mar-24,KG,0.75,88,237.66,209.14,0,209.14  
