,1,Sales Liquidation By SKU,Report  Date: 01-04-2024 03:04,,,,,,,
,1,(Reference No:C_INVC_PO17308456),,,,,,,,
,1,,Page 1 Of 1,,,,,,,
,  1 1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
From Period: 01-MAR-2024  ,To period: 31-MAR-2024,  Reference No:   C_INVC_PO17308456          ,                            PO No: 17308456        ,,,,,,,
,,,,,,,,,,
CONCESSIONAIRE,,,,,,,,,,
Supplier Site:    ,903066   -   PILMICO ANIMAL NUTRITION CORPORATION                                                                                                                                      ,Store:    ,2009-VALUESHOP MARKET MARKET INC. (METRO ALABANG)          ,,,,,,,
Supplier Site Address:,ABOITIZ CORPORATE CENTER GOV. MANUEL A. CUENCE AVE. KASAMBAGAN,Department:,2080  - Frozen and Chilled          ,,,,,,,
,",CEBU CITY",,,,,,,,,
SKU and transaction date wise summary:-,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SKU,Description,Tran Date,Post Date,Sell UOM,QTY,Concession ,Gross Sales Amt ,Concession Amt ,Input VAT,Concession Amt
,,,,,,Rate   (%),(Incl of VAT),(Excl of VAT),,(Incl of VAT)
104143256,TGM SMOKED BACON 400G,23-Mar-24,23-Mar-24,EA,1,80,335,239.29,28.71,268.00  
104143265,TGM PORK TAPA 400G,23-Mar-24,23-Mar-24,EA,1,80,170,121.43,14.57,136.00  
104143253,TGM PORK SISIG 200G,24-Mar-24,24-Mar-24,EA,1,80,155,110.71,13.29,124.00  
104143246,TGM FARMERS HAM 200G,27-Mar-24,27-Mar-24,EA,1,80,155,110.71,13.29,124.00  
104143253,TGM PORK SISIG 200G,27-Mar-24,27-Mar-24,EA,1,80,155,110.71,13.29,124.00  
104143263,TGM PORK TOCINO 400G,27-Mar-24,27-Mar-24,EA,2,80,330,235.71,28.29,264.00  
104143265,TGM PORK TAPA 400G,27-Mar-24,27-Mar-24,EA,1,80,170,121.43,14.57,136.00  
104143265,TGM PORK TAPA 400G,27-Mar-24,31-Mar-24,EA,1,80,170,121.43,14.57,136.00  
104143265,TGM PORK TAPA 400G,28-Mar-24,28-Mar-24,EA,2,80,340,242.86,29.14,272.00  
104143246,TGM FARMERS HAM 200G,30-Mar-24,30-Mar-24,EA,3,80,465,332.14,39.86,372.00  
104143253,TGM PORK SISIG 200G,30-Mar-24,30-Mar-24,EA,3,80,465,332.14,39.86,372.00  
104143256,TGM SMOKED BACON 400G,30-Mar-24,30-Mar-24,EA,1,80,335,239.29,28.71,268.00  
104143263,TGM PORK TOCINO 400G,30-Mar-24,30-Mar-24,EA,1,80,165,117.86,14.14,132.00  
104143265,TGM PORK TAPA 400G,30-Mar-24,30-Mar-24,EA,1,80,170,121.43,14.57,136.00  
Total Amount (PHP) :,,,,,,,"11,920.00","8,514.29","1,021.71","9,536.00"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SKU wise summary:-,,,,,,,,,,
,,,,,,,,,,
Item Summary #,SKU,Description,QTY,Concession Amt ,Input VAT,Concession Amt,,,,
,,,,(Excl of VAT),,(Incl of VAT),,,,
1,104143246,TGM FARMERS HAM 200G,14,"1,550.00",186,"1,736.00  ",,,,
2,104143253,TGM PORK SISIG 200G,24,"2,657.14",318.86,"2,976.00  ",,,,
3,104143256,TGM SMOKED BACON 400G,7,"1,675.00",201,"1,876.00  ",,,,
4,104143263,TGM PORK TOCINO 400G,11,"1,296.43",155.57,"1,452.00  ",,,,
5,104143265,TGM PORK TAPA 400G,11,"1,335.71",160.29,"1,496.00  ",,,,
,Total Amount (PHP) :,,,"8,514.29","1,021.71","9,536.00",,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
NOTE:  Concession Rate (%) = 100% - Latest Commission Rate of the Item ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
APPROVED BY:,,,,,,,,,,
,,,,,,,,,,
                                                       _______________________________,,,,,,,,,,
                                                               MERCHANDISING,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
End of Report ,,,,,,,,,,
