,1,Sales Liquidation By SKU,Report  Date: 03-04-2024 10:04,,,,,,,
,1,(Reference No:C_INVC_PO17304320),,,,,,,,
,1,,Page 1 Of 1,,,,,,,
,  1 1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
From Period: 01-MAR-2024  ,To period: 31-MAR-2024,  Reference No:   C_INVC_PO17304320          ,                            PO No: 17304320        ,,,,,,,
,,,,,,,,,,
CONCESSIONAIRE,,,,,,,,,,
Supplier Site:    ,903066   -   PILMICO ANIMAL NUTRITION CORPORATION                                                                                                                                      ,Store:    ,2002-SUPER METRO MANDAUE          ,,,,,,,
Supplier Site Address:,ABOITIZ CORPORATE CENTER GOV. MANUEL A. CUENCE AVE. KASAMBAGAN,Department:,2020  - Meat and Poultry          ,,,,,,,
,",CEBU CITY",,,,,,,,,
SKU and transaction date wise summary:-,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SKU,Description,Tran Date,Post Date,Sell UOM,QTY,Concession ,Gross Sales Amt ,Concession Amt ,Input VAT,Concession Amt
,,,,,,Rate   (%),(Incl of VAT),(Excl of VAT),,(Incl of VAT)
4,21832,TGM - PORK BELLY SOBI - KILO,58.06,"19,279.66",0,"19,279.66  ",,,,
5,21834,TGM - REGULAR GROUND PORK - KILO,76.67,"19,100.35",0,"19,100.35  ",,,,
6,21837,TGM - PORK SINIGANG CUT - KILO,28.66,"6,594.00",0,"6,594.00  ",,,,
7,21838,TGM - PORK MENUDO CUT - KILO,14.14,"4,332.26",0,"4,332.26  ",,,,
8,21839,TGM - PATA SLICED - KILO,8.4,"2,255.03",0,"2,255.03  ",,,,
9,21841,TGM - LEAN GROUND PORK - KILO,62.2,"18,641.17",0,"18,641.17  ",,,,
10,21842,TGM - PATA FRONT - KILO,18.16,"4,495.72",0,"4,495.72  ",,,,
11,21844,TGM - PORK BABY BACK RIBS - KILO,6.14,"2,459.66",0,"2,459.66  ",,,,
12,21845,TGM - PORK CUBES - KILO,5.8,"1,747.42",0,"1,747.42  ",,,,
13,21846,TGM - PORK RIB SHOULDER - KILO,5.23,"1,591.89",0,"1,591.89  ",,,,
14,21849,TGM - PORK CUTLETS - KILO,7.74,"2,427.11",0,"2,427.11  ",,,,
15,21851,TGM - PORK LIVER - KILO,66.46,"10,344.04",0,"10,344.04  ",,,,
16,21855,TGM - PORK TENDERLOIN - KILO,1.13,373.57,0,373.57  ,,,,
17,21859,TGM - PORK BACON SLICE - KILO,19.45,"6,844.89",0,"6,844.89  ",,,,
18,21862,TGM - PORKCHOP BONELESS - KILO,1.46,435.55,0,435.55  ,,,,
19,21865,TGM - PORK SAMGYEOPSAL - KILO,29.1,"10,119.01",0,"10,119.01  ",,,,
20,21866,TGM - PORK ADOBO CUT - KILO,109.28,"31,549.04",0,"31,549.04  ",,,,
21,21871,TGM - BEEF CUBES - KILO,9.23,"3,882.22",0,"3,882.22  ",,,,
22,21872,TGM - GROUND ROUND - KILO,1.58,568.67,0,568.67  ,,,,
23,21873,TGM - BEEF SIRLOIN - KILO,0.52,244.28,0,244.28  ,,,,
24,21875,TGM - BEEF SHANK - KILO,3.76,"1,363.71",0,"1,363.71  ",,,,
25,21890,TGM - BEEF MECHADO - KILO,0.43,192.61,0,192.61  ,,,,
26,21892,TGM - BEEF BREAKFAST STEAK - KILO,7.66,"3,681.41",0,"3,681.41  ",,,,
27,21921,TGM - PORK LECHON KAWALI - KILO,2.28,780.65,0,780.65  ,,,,
28,21923,TGM - PORK GINISA CUT - KILO,15.55,"3,699.08",0,"3,699.08  ",,,,
29,22837,TGM - PORK KASIM SLBL - KILO,1.14,360.15,0,360.15  ,,,,
30,22841,TGM - PIGS FEET - KILO,0.6,94.51,0,94.51  ,,,,
31,22843,TGM - PORK SPARERIBS - KILO,30.67,"11,195.84",0,"11,195.84  ",,,,
32,22845,TGM - PORK STROGANOFF - KILO,0.16,51.7,0,51.70  ,,,,
33,22848,TGM - PORK PIGUE SOBL - KILO,11.49,"3,400.94",0,"3,400.94  ",,,,
34,22850,TGM - PORK KAS ING - KILO,0.81,233.77,0,233.77  ,,,,
,Total Amount (PHP) :,,,"193,070.64",721.42,"193,792.06",,,,
