,1,Sales Liquidation By SKU,Report  Date: 01-04-2024 03:04,,,,,,,
,1,(Reference No:C_INVC_PO17306256),,,,,,,,
,1,,Page 1 Of 1,,,,,,,
,  1 1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
From Period: 01-MAR-2024  ,To period: 31-MAR-2024,  Reference No:   C_INVC_PO17306256          ,                            PO No: 17306256        ,,,,,,,
,,,,,,,,,,
CONCESSIONAIRE,,,,,,,,,,
Supplier Site:    ,903066   -   PILMICO ANIMAL NUTRITION CORPORATION                                                                                                                                      ,Store:    ,2007-METRO ANGELES CITY (PAMPANGA)          ,,,,,,,
Supplier Site Address:,ABOITIZ CORPORATE CENTER GOV. MANUEL A. CUENCE AVE. KASAMBAGAN,Department:,2020  - Meat and Poultry          ,,,,,,,
,",CEBU CITY",,,,,,,,,
SKU and transaction date wise summary:-,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SKU,Description,Tran Date,Post Date,Sell UOM,QTY,Concession ,Gross Sales Amt ,Concession Amt ,Input VAT,Concession Amt
,,,,,,Rate   (%),(Incl of VAT),(Excl of VAT),,(Incl of VAT)
21825,TGM - GROUND BEEF - KILO,2-Mar-24,2-Mar-24,KG,3.44,88,"1,233.42","1,085.41",0,"1,085.41  "
21827,TGM - SHANGHAI MIX - KILO,2-Mar-24,2-Mar-24,KG,0.56,88,240.24,188.76,22.65,211.41  
21832,TGM - PORK BELLY SOBI - KILO,2-Mar-24,2-Mar-24,KG,3.87,88,"1,696.74","1,493.13",0,"1,493.13  "
21834,TGM - REGULAR GROUND PORK - KILO,2-Mar-24,2-Mar-24,KG,2.31,88,640.32,563.48,0,563.48  
21837,TGM - PORK SINIGANG CUT - KILO,2-Mar-24,2-Mar-24,KG,4.51,88,"1,166.80","1,026.78",0,"1,026.78  "
21838,TGM - PORK MENUDO CUT - KILO,2-Mar-24,2-Mar-24,KG,0.91,88,317.25,279.18,0,279.18  
21839,TGM - PATA SLICED - KILO,2-Mar-24,2-Mar-24,KG,2.57,88,968.36,852.16,0,852.16  
21842,TGM - PATA FRONT - KILO,2-Mar-24,2-Mar-24,KG,3.4,88,"1,184.86","1,042.68",0,"1,042.68  "
21843,TGM - PORK STEAK - KILO,2-Mar-24,2-Mar-24,KG,1.58,88,572.09,503.44,0,503.44  
21844,TGM - PORK BABY BACK RIBS - KILO,2-Mar-24,2-Mar-24,KG,1.2,88,526.8,463.58,0,463.58  
21846,TGM - PORK RIB SHOULDER - KILO,2-Mar-24,2-Mar-24,KG,1.32,88,460.68,405.4,0,405.40  
21848,TGM - PORK BUTTERFLY CUT - KILO,2-Mar-24,2-Mar-24,KG,1.04,88,381.92,336.09,0,336.09  
21851,TGM - PORK LIVER - KILO,2-Mar-24,2-Mar-24,KG,1.38,88,284.66,250.5,0,250.50  
21859,TGM - PORK BACON SLICE - KILO,2-Mar-24,2-Mar-24,KG,0.66,88,316.14,278.2,0,278.20  
21866,TGM - PORK ADOBO CUT - KILO,2-Mar-24,2-Mar-24,KG,1.1,88,393.11,345.94,0,345.94  
21871,TGM - BEEF CUBES - KILO,2-Mar-24,2-Mar-24,KG,1.06,88,533.01,469.05,0,469.05  
21875,TGM - BEEF SHANK - KILO,2-Mar-24,2-Mar-24,KG,0.77,88,374.09,329.2,0,329.20  
21881,TGM - BEEF BRISKET BL - KILO,2-Mar-24,2-Mar-24,KG,0.52,88,272.44,239.75,0,239.75  
21893,TGM - BEEF STROGANOFF - KILO,2-Mar-24,2-Mar-24,KG,0.25,88,157.25,138.38,0,138.38  
21825,TGM - GROUND BEEF - KILO,3-Mar-24,3-Mar-24,KG,2.61,88,947.79,834.06,0,834.06  
21826,TGM - PORKCHOP SOBI - KILO,3-Mar-24,3-Mar-24,KG,0.55,88,197.45,173.76,0,173.76  
21832,TGM - PORK BELLY SOBI - KILO,3-Mar-24,3-Mar-24,KG,1.82,88,796.79,701.18,0,701.18  
