,1,Sales Liquidation By SKU,Report  Date: 01-02-2024 09:02,,,,,,,
,1,(Reference No:C_INVC_PO17026984),,,,,,,,
,1,,Page 1 Of 1,,,,,,,
,  1 1,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
From Period: 01-JAN-2024  ,To period: 31-JAN-2024,  Reference No:   C_INVC_PO17026984          ,                            PO No: 17026984        ,,,,,,,
,,,,,,,,,,
CONCESSIONAIRE,,,,,,,,,,
Supplier Site:    ,903066   -   PILMICO ANIMAL NUTRITION CORPORATION                                                                                                                                      ,Store:    ,2018-THE METRO GAISANO PASIG          ,,,,,,,
Supplier Site Address:,ABOITIZ CORPORATE CENTER GOV. MANUEL A. CUENCE AVE. KASAMBAGAN,Department:,2080  - Frozen and Chilled          ,,,,,,,
,",CEBU CITY",,,,,,,,,
SKU and transaction date wise summary:-,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SKU,Description,Tran Date,Post Date,Sell UOM,QTY,Concession ,Gross Sales Amt ,Concession Amt ,Input VAT,Concession Amt
,,,,,,Rate   (%),(Incl of VAT),(Excl of VAT),,(Incl of VAT)
104143246,TGM FARMERS HAM 200G,1-Jan-24,1-Jan-24,EA,1,80,149,106.43,12.77,119.20  
104143253,TGM PORK SISIG 200G,1-Jan-24,1-Jan-24,EA,1,80,145,103.57,12.43,116.00  
104143268,TGM BELLY BBQ 400G,1-Jan-24,1-Jan-24,EA,1,80,412,294.29,35.31,329.60  
104143246,TGM FARMERS HAM 200G,7-Jan-24,7-Jan-24,EA,3,80,465,332.14,39.86,372.00  
104143253,TGM PORK SISIG 200G,7-Jan-24,7-Jan-24,EA,1,80,155,110.71,13.29,124.00  
104143256,TGM SMOKED BACON 400G,7-Jan-24,7-Jan-24,EA,5,80,"1,675.00","1,196.43",143.57,"1,340.00  "
104143268,TGM BELLY BBQ 400G,7-Jan-24,7-Jan-24,EA,2,80,850,607.14,72.86,680.00  
104143268,TGM BELLY BBQ 400G,8-Jan-24,8-Jan-24,EA,1,80,425,303.57,36.43,340.00  
104143265,TGM PORK TAPA 400G,9-Jan-24,9-Jan-24,EA,1,80,170,121.43,14.57,136.00  
104143246,TGM FARMERS HAM 200G,14-Jan-24,14-Jan-24,EA,3,80,465,332.14,39.86,372.00  
104143253,TGM PORK SISIG 200G,14-Jan-24,14-Jan-24,EA,1,80,155,110.71,13.29,124.00  
104143256,TGM SMOKED BACON 400G,14-Jan-24,14-Jan-24,EA,1,80,335,239.29,28.71,268.00  
104143253,TGM PORK SISIG 200G,15-Jan-24,15-Jan-24,EA,1,80,155,110.71,13.29,124.00  
104143263,TGM PORK TOCINO 400G,15-Jan-24,15-Jan-24,EA,1,80,165,117.86,14.14,132.00  
104143263,TGM PORK TOCINO 400G,16-Jan-24,16-Jan-24,EA,1,80,165,117.86,14.14,132.00  
104143268,TGM BELLY BBQ 400G,16-Jan-24,16-Jan-24,EA,1,80,425,303.57,36.43,340.00  
104143253,TGM PORK SISIG 200G,20-Jan-24,20-Jan-24,EA,7,80,"1,085.00",775,93,868.00  
104143246,TGM FARMERS HAM 200G,21-Jan-24,21-Jan-24,EA,1,80,155,110.71,13.29,124.00  
104143256,TGM SMOKED BACON 400G,22-Jan-24,22-Jan-24,EA,1,80,335,239.29,28.71,268.00  
104143263,TGM PORK TOCINO 400G,22-Jan-24,22-Jan-24,EA,1,80,165,117.86,14.14,132.00  
104143265,TGM PORK TAPA 400G,22-Jan-24,22-Jan-24,EA,1,80,170,121.43,14.57,136.00  
104143253,TGM PORK SISIG 200G,23-Jan-24,23-Jan-24,EA,2,80,310,221.43,26.57,248.00  
104143256,TGM SMOKED BACON 400G,23-Jan-24,23-Jan-24,EA,1,80,335,239.29,28.71,268.00  
104143253,TGM PORK SISIG 200G,24-Jan-24,24-Jan-24,EA,1,80,155,110.71,13.29,124.00  
104143256,TGM SMOKED BACON 400G,24-Jan-24,24-Jan-24,EA,1,80,335,239.29,28.71,268.00  
104143253,TGM PORK SISIG 200G,25-Jan-24,25-Jan-24,EA,1,80,155,110.71,13.29,124.00  
104143256,TGM SMOKED BACON 400G,25-Jan-24,25-Jan-24,EA,1,80,335,239.29,28.71,268.00  
104143263,TGM PORK TOCINO 400G,28-Jan-24,28-Jan-24,EA,1,80,165,117.86,14.14,132.00  
104143265,TGM PORK TAPA 400G,28-Jan-24,28-Jan-24,EA,1,80,170,121.43,14.57,136.00  
104143279,THE GOOD MEAT JAMON DE BOLA 750G,28-Jan-24,28-Jan-24,EA,1,80,285,203.57,24.43,228.00  
104143253,TGM PORK SISIG 200G,29-Jan-24,29-Jan-24,EA,1,80,155,110.71,13.29,124.00  
104143265,TGM PORK TAPA 400G,29-Jan-24,29-Jan-24,EA,3,80,510,364.29,43.71,408.00  
104143256,TGM SMOKED BACON 400G,31-Jan-24,31-Jan-24,EA,1,80,335,239.29,28.71,268.00  
104143265,TGM PORK TAPA 400G,31-Jan-24,31-Jan-24,EA,1,80,170,121.43,14.57,136.00  
Total Amount (PHP) :,,,,,,,"11,636.00","8,311.43",997.37,"9,308.80"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SKU wise summary:-,,,,,,,,,,
,,,,,,,,,,
Item Summary #,SKU,Description,QTY,Concession Amt ,Input VAT,Concession Amt,,,,
,,,,(Excl of VAT),,(Incl of VAT),,,,
1,104143246,TGM FARMERS HAM 200G,8,881.43,105.77,987.20  ,,,,
2,104143253,TGM PORK SISIG 200G,16,"1,764.29",211.71,"1,976.00  ",,,,
3,104143256,TGM SMOKED BACON 400G,11,"2,632.14",315.86,"2,948.00  ",,,,
4,104143263,TGM PORK TOCINO 400G,4,471.43,56.57,528.00  ,,,,
5,104143265,TGM PORK TAPA 400G,7,850,102,952.00  ,,,,
6,104143268,TGM BELLY BBQ 400G,5,"1,508.57",181.03,"1,689.60  ",,,,
7,104143279,THE GOOD MEAT JAMON DE BOLA 750G,1,203.57,24.43,228.00  ,,,,
,Total Amount (PHP) :,,,"8,311.43",997.37,"9,308.80",,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
NOTE:  Concession Rate (%) = 100% - Latest Commission Rate of the Item ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
APPROVED BY:,,,,,,,,,,
,,,,,,,,,,
                                                       _______________________________,,,,,,,,,,
                                                               MERCHANDISING,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
End of Report ,,,,,,,,,,
