YEAR,MONTH,CUT-OFF,SKU,Description,Tran Date,Post Date,Sell UOM,QTY,PACK,KG,PC,Concession Rate (%),Gross Sales Amt  (Incl of VAT),Concession Amt  (Excl of VAT),Input VAT,Concession Amt (Incl of VAT),AREA,CHAIN,BANNER,STORE CODE,BRANCH,SKU CATEGORY,SKU PER BRAND,GENERALIZED SKU,MOTHER SKU,Sales Category,SKU Department,PLACEMENT,PLACEMENT REMARKS,,,,,
2024,JUN,JUN 1 TO 30,21866,TGM - PORK ADOBO CUT - KILO,6/1/2024,6/1/2024,KG,6.90000,0.00000,6.90000,0.00000,88,2399.40000,2111.47000,0.00000,2111.47000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM ADOBO CUT,ADOBO CUT,ADOBO CUT,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21871,TGM - BEEF CUBES - KILO,6/1/2024,6/1/2024,KG,0.67000,0.00000,0.67000,0.00000,88,331.39000,291.62000,0.00000,291.62000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,BEEF,TGM BEEF CUBES,BEEF CUBES,BEEF CUBES,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,BEEF,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21872,TGM - GROUND ROUND - KILO,6/1/2024,6/1/2024,KG,4.81000,0.00000,4.81000,0.00000,88,1950.96000,1716.84000,0.00000,1716.84000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,BEEF,TGM GROUND ROUND,GROUND ROUND,GROUND ROUND,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,BEEF,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21873,TGM - BEEF SIRLOIN - KILO,6/1/2024,6/1/2024,KG,0.96000,0.00000,0.96000,0.00000,88,588.81000,518.15000,0.00000,518.15000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,BEEF,TGM BEEF SIRLOIN,BEEF SIRLOIN,BEEF SIRLOIN,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,BEEF,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21875,TGM - BEEF SHANK - KILO,6/1/2024,6/1/2024,KG,2.36000,0.00000,2.36000,0.00000,88,1151.60000,1013.41000,0.00000,1013.41000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,BEEF,TGM BEEF SHANK,BEEF SHANK,BEEF SHANK,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,BEEF,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21901,TGM - OX TRIPE - KILO,6/1/2024,6/1/2024,KG,4.07000,0.00000,4.07000,0.00000,88,1374.66000,1209.70000,0.00000,1209.70000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,BEEF,TGM BEEF TRIPE,BEEF TRIPE,BEEF TRIPE,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,BEEF,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21825,TGM - GROUND BEEF - KILO,6/2/2024,6/2/2024,KG,1.05000,0.00000,1.05000,0.00000,88,375.16000,330.14000,0.00000,330.14000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,BEEF,TGM REGULAR GROUND BEEF,REGULAR GROUND BEEF,GROUND BEEF,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,BEEF,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21826,TGM - PORKCHOP SOBI - KILO,6/2/2024,6/2/2024,KG,1.07000,0.00000,1.07000,0.00000,88,403.64000,355.20000,0.00000,355.20000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM PORKCHOP SOBI,PORKCHOP SOBI,PORKCHOP,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21832,TGM - PORK BELLY SOBI - KILO,6/2/2024,6/2/2024,KG,2.88000,0.00000,2.88000,0.00000,88,1302.66000,1146.34000,0.00000,1146.34000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM BELLY SOBI/BELLY SLICED,BELLY SOBI/BELLY SLICED,BELLY,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
2024,JUN,JUN 1 TO 30,21837,TGM - PORK SINIGANG CUT - KILO,6/2/2024,6/2/2024,KG,1.05000,0.00000,1.05000,0.00000,88,303.45000,267.04000,0.00000,267.04000,SOUTH,METRO RETAIL,METRO GAISANO,2004,METRO LEGAZPI,PORK,TGM PORK SINIGANG CUT,PORK SINIGANG CUT,PORK SINIGANG CUT,RETAIL,MEAT,TGM SHOWCASE,OK,Albay,Bicol,PORK,SHOWCASE,TGM
